"POLITICO";"NOME_CASA";"PARTIDO";"UF";"ID";"ANO_MANDATO";"LEGISLATURA";"URL_FOTO"
"RICARDO TEOBALDO";"RICARDO TEOBALDO";"PTB";"";"dd7c017c0f793bc098d264d1fa26a8f9";"";"";""
"ALBERTO FILHO";"ALBERTO FILHO";"PMDB";"MA";"5830840";"2011.0";"54.0";""
"DULCE MIRANDA";"DULCE MIRANDA";"PMDB";"TO";"5830311";"2011.0";"54.0";""
"MARCOS MONTES";"MARCOS MONTES";"PSD";"MG";"5830537";"2011.0";"54.0";""
"ÁTILA LINS";"ÁTILA LINS";"PSD";"AM";"5830571";"2011.0";"54.0";""
"LAERTE BESSA";"LAERTE BESSA";"PR";"DF";"5830785";"2011.0";"54.0";""
"JOÃO RODRIGUES";"JOÃO RODRIGUES";"PSD";"SC";"5830304";"2011.0";"54.0";""
"ANÍBAL GOMES";"ANÍBAL GOMES";"PMDB";"CE";"5830497";"2011.0";"54.0";""
"ALEX MANENTE";"ALEX MANENTE";"PPS";"SP";"5830591";"2011.0";"54.0";""
"FÁBIO MITIDIERI";"FÁBIO MITIDIERI";"PSD";"SE";"5830569";"2011.0";"54.0";""
"CELSO RUSSOMANNO";"CELSO RUSSOMANNO";"PRB";"SP";"5830790";"2011.0";"54.0";""
"CÉLIO SILVEIRA";"CÉLIO SILVEIRA";"PSDB";"GO";"5830585";"2011.0";"54.0";""
"LUCIANA SANTOS";"LUCIANA SANTOS";"PCdoB";"PE";"5830532";"2011.0";"54.0";""
"WADIH DAMOUS";"WADIH DAMOUS";"PT";"RJ";"5830842";"2011.0";"54.0";""
"LUIZ SÉRGIO";"LUIZ SÉRGIO";"PT";"RJ";"5830521";"2011.0";"54.0";""
"RONALDO BENEDET";"RONALDO BENEDET";"PMDB";"SC";"5830753";"2011.0";"54.0";""
"EDMILSON RODRIGUES";"EDMILSON RODRIGUES";"PSOL";"PA";"5830604";"2011.0";"54.0";""
