"ID_VOTACAO";"POLITICO";"VOTO";"PARTIDO"
"342d752c42529f646a951a08e0f037eb";"LUIZA ERUNDINA";"NAO";"PSB"
"342d752c42529f646a951a08e0f037eb";"ERIVELTON SANTANA";"SIM";"PSC"
"342d752c42529f646a951a08e0f037eb";"OSMAR SERRAGLIO";"SIM";"PMDB"
"342d752c42529f646a951a08e0f037eb";"BRUNO ARAÚJO";"SIM";"PSDB"
"342d752c42529f646a951a08e0f037eb";"CACÁ LEÃO";"SIM";"PP"
"342d752c42529f646a951a08e0f037eb";"DIMAS FABIANO";"SIM";"PP"
"342d752c42529f646a951a08e0f037eb";"CHICO D'ANGELO";"NAO";"PT"
"342d752c42529f646a951a08e0f037eb";"HÉLIO LEITE";"NAO";"DEM"
"342d752c42529f646a951a08e0f037eb";"MARIA DO ROSÁRIO";"NAO";"PT"
"342d752c42529f646a951a08e0f037eb";"ODORICO MONTEIRO";"NAO";"PT"
"342d752c42529f646a951a08e0f037eb";"FABIANO HORTA";"NAO";"PT"
"342d752c42529f646a951a08e0f037eb";"JOZI ROCHA";"SIM";"PTB"
"342d752c42529f646a951a08e0f037eb";"DR. JORGE SILVA";"SIM";"PROS"
"342d752c42529f646a951a08e0f037eb";"RONEY NEMER";"SIM";"PMDB"
"342d752c42529f646a951a08e0f037eb";"DULCE MIRANDA";"SIM";"PMDB"
"342d752c42529f646a951a08e0f037eb";"DÉCIO LIMA";"NAO";"PT"
"342d752c42529f646a951a08e0f037eb";"ADELMO CARNEIRO LEÃO";"NAO";"PT"
"342d752c42529f646a951a08e0f037eb";"EDUARDO BOLSONARO";"SIM";"PSC"
"342d752c42529f646a951a08e0f037eb";"LUIZ CARLOS HAULY";"SIM";"PSDB"
"342d752c42529f646a951a08e0f037eb";"LUIZ COUTO";"NAO";"PT"
"342d752c42529f646a951a08e0f037eb";"AFONSO FLORENCE";"NAO";"PT"
"342d752c42529f646a951a08e0f037eb";"ARTHUR LIRA";"SIM";"PP"
"342d752c42529f646a951a08e0f037eb";"JARBAS VASCONCELOS";"SIM";"PMDB"
"342d752c42529f646a951a08e0f037eb";"IRMÃO LAZARO";"NAO";"PSC"
"342d752c42529f646a951a08e0f037eb";"ALAN RICK";"NAO";"PRB"
"342d752c42529f646a951a08e0f037eb";"ODELMO LEÃO";"SIM";"PP"
"342d752c42529f646a951a08e0f037eb";"ALESSANDRO MOLON";"NAO";"PT"
"342d752c42529f646a951a08e0f037eb";"REMÍDIO MONAI";"SIM";"PR"
"342d752c42529f646a951a08e0f037eb";"ALIEL MACHADO";"NAO";"PCdoB"
"342d752c42529f646a951a08e0f037eb";"FAUSTO PINATO";"NAO";"PRB"
"342d752c42529f646a951a08e0f037eb";"LEONARDO PICCIANI";"SIM";"PMDB"
"342d752c42529f646a951a08e0f037eb";"SÉRGIO MORAES";"SIM";"PTB"
"342d752c42529f646a951a08e0f037eb";"JHONATAN DE JESUS";"NAO";"PRB"
"342d752c42529f646a951a08e0f037eb";"HUGO MOTTA";"SIM";"PMDB"
"342d752c42529f646a951a08e0f037eb";"DANIEL ALMEIDA";"NAO";"PCdoB"
"342d752c42529f646a951a08e0f037eb";"ESPERIDIÃO AMIN";"SIM";"PP"
"342d752c42529f646a951a08e0f037eb";"ENIO VERRI";"NAO";"PT"
"342d752c42529f646a951a08e0f037eb";"FÁBIO FARIA";"SIM";"PSD"
"342d752c42529f646a951a08e0f037eb";"DELEGADO WALDIR";"SIM";"PSDB"
"342d752c42529f646a951a08e0f037eb";"HELDER SALOMÃO";"NAO";"PT"
"342d752c42529f646a951a08e0f037eb";"NELSON MARQUEZELLI";"ABSTENCAO";"PTB"
"342d752c42529f646a951a08e0f037eb";"JOSÉ REINALDO";"SIM";"PSB"
"342d752c42529f646a951a08e0f037eb";"VALMIR PRASCIDELLI";"NAO";"PT"
"342d752c42529f646a951a08e0f037eb";"JANETE CAPIBERIBE";"NAO";"PSB"
