"POLITICO";"NOME_CASA";"PARTIDO";"UF";"ID";"ANO_MANDATO";"LEGISLATURA";"URL_FOTO"
"ALDO REBELO ";"ALDO REBELO ";"PCdoB";"";"f148a2255a488fe97f7c3f534814c236";"";"";""
"ESTHER GROSSI";"ESTHER GROSSI";"PT";"";"0b256b094096d3070bb0e2149baf15d2";"";"";""
"NELSON TRAD";"NELSON TRAD";"PMDB";"MS";"73761";"2007.0";"53.0";""
"PAULO ROCHA";"PAULO ROCHA";"PT";"PA";"74082";"2007.0";"53.0";""
"LUIZ SOYER";"LUIZ SOYER";"PMDB";"";"96f4ddeb52862dc50321bc9ec25d6833";"";"";""
"EDSON QUEIROZ";"EDSON QUEIROZ";"PP";"";"5be14867687d5287f32d517ab023400c";"";"";""
"GERMANO RIGOTTO";"GERMANO RIGOTTO";"PMDB";"";"4beac3780de13e37cef796837d918c63";"";"";""
"ADHEMAR DE BARROS FILHO ";"ADHEMAR DE BARROS FILHO ";"PPB";"";"a3053a6242394d8169f8531c579ef60d";"";"";""
"FRANCO MONTORO";"FRANCO MONTORO";"PSDB";"";"e1cbedcd4059167dfd9e560d3e9438fb";"";"";""
"GASTONE RIGHI";"GASTONE RIGHI";"PTB";"";"f7bf9382654b581fa3e92a454f2d450a";"";"";""
"EDINHO ARAÚJO ";"EDINHO ARAÚJO ";"PMDB";"";"f1874f4399b5bd3fdac15621af84ab87";"";"";""
"JOÃO COLAÇO";"JOÃO COLAÇO";"PSB";"";"82f2b1a2cfb2c59a004848795a597e6d";"";"";""
"IBERE FERREIRA";"IBERE FERREIRA";"DEM";"";"f308d259373bc420f6f883245459057d";"";"";""
"CARLOS AZAMBUJA";"CARLOS AZAMBUJA";"PPR";"";"469e77f00173fa480dd015cbe89864e7";"";"";""
"JOSÉ ANÍBAL ";"JOSÉ ANÍBAL ";"PSDB";"";"0992921a1f131df3d92ad5c821094d5e";"";"";""
"FAUSTO MARTELLO ";"FAUSTO MARTELLO ";"PPR";"";"2c9180a49c2f1bc9fadfdb17b34447c4";"";"";""
"RUBEM MEDINA";"RUBEM MEDINA";"DEM";"";"1ffe5c96043631993424b8e886f039dd";"";"";""
"JOSÉ FELINTO";"JOSÉ FELINTO";"PP";"";"067e4809387100b755dc5f22e0b96b84";"";"";""
"PAULO TITAN";"PAULO TITAN";"PMDB";"";"e65fe563963e86af7d39ab1b24f3a213";"";"";""
"ARNALDO MADEIRA";"ARNALDO MADEIRA";"PSDB";"SP";"73993";"2007.0";"53.0";""
"ROMEL ANÍSIO";"ROMEL ANÍSIO";"PP";"";"8680fbddc7a2d88acca713b703d261fb";"";"";""
"JOÃO TOTA";"JOÃO TOTA";"PPR";"";"55c10d1df07dc5bb5cc51c54c3a8f492";"";"";""
"HÉLIO BICUDO";"HÉLIO BICUDO";"PT";"";"031fbc6afb7eeb86fc8e34ad3da2c3ba";"";"";""
"WERNER WANDERER";"WERNER WANDERER";"DEM";"";"2025cd89a087f00b9c5de018144c88e3";"";"";""
"JAIR MENEGUELLI";"JAIR MENEGUELLI";"PT";"";"85d077fa2f6776eb12637d67146cd765";"";"";""
"SÉRGIO GAUDENZI";"SÉRGIO GAUDENZI";"PSDB";"";"19b0cc7da36c4addfbfe236ae1ea3bcc";"";"";""
"ZUCA MOREIRA";"ZUCA MOREIRA";"PMDB";"";"9a1e781c52db780c573544aa00887a5c";"";"";""
"ARNALDO FARIA DE SÁ";"ARNALDO FARIA DE SÁ";"PTB";"SP";"5830487";"2011.0";"54.0";""
"RODRIGUES PALMA";"RODRIGUES PALMA";"PTB";"";"4f7b8a8b24dee43bf17851e411a84f42";"";"";""
"WILSON CAMPOS";"WILSON CAMPOS";"PSDB";"";"c44d22e066f987ee41550b50f696ca43";"";"";""
"MARIO ASSAD";"MARIO ASSAD";"DEM";"";"5f9c10fac3509b16c57953b6673c5923";"";"";""
"SALVADOR ZIMBALDI";"SALVADOR ZIMBALDI";"PDT";"SP";"73559";"2011.0";"54.0";""
"SÉRGIO BARCELLOS";"SÉRGIO BARCELLOS";"DEM";"";"109bc526645aabfa53708a6cad357737";"";"";""
