"POLITICO";"NOME_CASA";"PARTIDO";"UF";"ID";"ANO_MANDATO";"LEGISLATURA";"URL_FOTO"
"MARCOS MONTES";"MARCOS MONTES";"PSD";"MG";"5830537";"2011.0";"54.0";""
"ÁTILA LINS";"ÁTILA LINS";"PSD";"AM";"5830571";"2011.0";"54.0";""
"LAERTE BESSA";"LAERTE BESSA";"PR";"DF";"5830785";"2011.0";"54.0";""
"CARLOS SANTANA";"CARLOS SANTANA";"PT";"RJ";"74835";"2007.0";"53.0";""
"ANÍBAL GOMES";"ANÍBAL GOMES";"PMDB";"CE";"5830497";"2011.0";"54.0";""
"MARCELO MELO";"MARCELO MELO";"PMDB";"GO";"141494";"2007.0";"53.0";""
"BENEDITO DE LIRA";"BENEDITO DE LIRA";"PP";"AL";"74517";"2007.0";"53.0";""
"RONALDO CUNHA LIMA";"RONALDO CUNHA LIMA";"PSDB";"PB";"74042";"2007.0";"53.0";""
"CELSO RUSSOMANNO";"CELSO RUSSOMANNO";"PRB";"SP";"5830790";"2011.0";"54.0";""
"TATICO";"TATICO";"PTB";"GO";"74289";"2007.0";"53.0";""
"JOSÉ GENOÍNO";"JOSÉ GENOÍNO";"PT";"SP";"73540";"2007.0";"53.0";""
"ANA ARRAES";"ANA ARRAES";"PSB";"PE";"141377";"2007.0";"53.0";""
"LUIZ SÉRGIO";"LUIZ SÉRGIO";"PT";"RJ";"5830521";"2011.0";"54.0";""
"PEDRO WILSON";"PEDRO WILSON";"PT";"GO";"73673";"2007.0";"53.0";""
"DR. BASEGIO";"DR. BASEGIO";"PDT";"RS";"141414";"2007.0";"53.0";""
"JOSÉ MÚCIO MONTEIRO";"JOSÉ MÚCIO MONTEIRO";"PTB";"PE";"74426";"2007.0";"53.0";""
"PAULO RUBEM SANTIAGO";"PAULO RUBEM SANTIAGO";"PDT";"PE";"74047";"2011.0";"54.0";""
"ANTONIO BULHÕES";"ANTONIO BULHÕES";"PRB";"SP";"5830625";"2011.0";"54.0";""
"OTAVIO LEITE";"OTAVIO LEITE";"PSDB";"RJ";"5830554";"2011.0";"54.0";""
"MÁRCIO REINALDO MOREIRA";"MÁRCIO REINALDO MOREIRA";"PP";"MG";"74744";"2007.0";"53.0";""
"FRANK AGUIAR";"FRANK AGUIAR";"PTB";"SP";"141437";"2007.0";"53.0";""
"SEVERIANO ALVES";"SEVERIANO ALVES";"PDT";"BA";"74641";"2007.0";"53.0";""
"JOFRAN FREJAT";"JOFRAN FREJAT";"PTB";"DF";"73658";"2007.0";"53.0";""
"JÔ MORAES";"JÔ MORAES";"PCdoB";"MG";"5830724";"2011.0";"54.0";""
"AFFONSO CAMARGO";"AFFONSO CAMARGO";"PSDB";"PR";"73765";"2007.0";"53.0";""
"JILMAR AUGUSTINHO TATTO";"JILMAR AUGUSTINHO TATTO";"PT";"";"1ca1966c3742df890a98f310e15e65be";"";"";""
"SOLANGE AMARAL";"SOLANGE AMARAL";"PFL";"RJ";"141546";"2007.0";"53.0";""
"ZEQUINHA MARINHO";"ZEQUINHA MARINHO";"PSC";"PA";"73933";"2011.0";"54.0";""
"SIMÃO SESSIM";"SIMÃO SESSIM";"PP";"RJ";"5830589";"2011.0";"54.0";""
"MARINA MAGGESSI";"MARINA MAGGESSI";"PPS";"RJ";"141505";"2007.0";"53.0";""
"PAULO MALUF";"PAULO MALUF";"PP";"SP";"5830342";"2011.0";"54.0";""
"ULDURICO PINTO";"ULDURICO PINTO";"PMN";"BA";"73809";"2007.0";"53.0";""
"EDMILSON VALENTIM";"EDMILSON VALENTIM";"PCdoB";"RJ";"139187";"2007.0";"53.0";""
"PAULO PIMENTA";"PAULO PIMENTA";"PT";"RS";"5830669";"2011.0";"54.0";""
"RATINHO JUNIOR";"RATINHO JUNIOR";"PSC";"PR";"141403";"2011.0";"54.0";""
"INOCÊNCIO OLIVEIRA";"INOCÊNCIO OLIVEIRA";"PR";"PE";"74421";"2011.0";"54.0";""
"RODRIGO MAIA";"RODRIGO MAIA";"DEM";"RJ";"5830464";"2011.0";"54.0";""
"JOSÉ SANTANA DE VASCONCELLOS";"JOSÉ SANTANA DE VASCONCELLOS";"PL";"MG";"74741";"2007.0";"53.0";""
"JURANDY LOUREIRO";"JURANDY LOUREIRO";"PSC";"ES";"141475";"2007.0";"53.0";""
"JUVENIL";"JUVENIL";"PT";"MG";"141477";"2007.0";"53.0";""
"ROBERTO SANTIAGO";"ROBERTO SANTIAGO";"PV";"SP";"141473";"2011.0";"54.0";""
